,Piłkarz,Wiek,Narodowość,Pozycja,Poz,Wartość rynkowa,Klub pozyskujący/oddający państwo,Klub pozyskujący/oddający nazwa,Kwota odstępnego,Rodzaj transferu,Dotyczy klubu,Sezon
1852,Petr JohanaP. Johana,34,Czechy,Środkowy obrońca,ŚOB,300 tys. €,Czechy,Mladá Boleslav,Bez odstępnego,Sprzedaż,SC Magna Wiener Neustadt,2010/2011
1853,Patrick NiklasP. Niklas,22,Austria,Prawy napastnik,PNP,75 tys. €,Austria,SC Ritzing,Bez odstępnego,Sprzedaż,SC Magna Wiener Neustadt,2010/2011
1854,Ronald GercaliuR. Gercaliu,24,Austria,Środkowy obrońca,ŚOB,650 tys. €,Niemcy,FC Ingolstadt,Bez odstępnego,Sprzedaż,SC Magna Wiener Neustadt,2010/2011
1855,Mensur KurtisiM. Kurtisi,24,Macedonia Północna,Środkowy napastnik,ŚNP,450 tys. €,Arabia Saudyjska,Taawon,Bez odstępnego,Sprzedaż,SC Magna Wiener Neustadt,2010/2011
1856,Diego VianaD. Viana,27,Brazylia,Środkowy napastnik,ŚNP,325 tys. €,Austria,Grödig,?,Sprzedaż,SC Magna Wiener Neustadt,2010/2011
1857,Patrick WolfP. Wolf,29,Austria,Prawy pomocnik,PPM,600 tys. €,Austria,Sturm Graz,?,Sprzedaż,SC Magna Wiener Neustadt,2010/2011
1858,Daniel DunstD. Dunst,26,Austria,Prawy obrońca,POB,300 tys. €,-,Bez klubu,-,Sprzedaż,SC Magna Wiener Neustadt,2010/2011
1859,Tomislav MicanovicT. Micanovic,20,Austria,Środkowy obrońca,ŚOB,100 tys. €,-,Bez klubu,-,Sprzedaż,SC Magna Wiener Neustadt,2010/2011
1860,Dusan SventoD. Svento,23,Słowacja,Lewy obrońca,LOB,"2,20 mln €",Czechy,Slavia Praga,"2,50 mln €",Kupno,Red Bull Salzburg,2009/2010
1861,Nikola PokrivacN. Pokrivac,23,Chorwacja,Defensywny pomocnik,DPM,"2,00 mln €",Francja,Monaco,"2,00 mln €",Kupno,Red Bull Salzburg,2009/2010
1862,Thomas AugustinussenT. Augustinussen,28,Dania,Defensywny pomocnik,DPM,"1,50 mln €",Dania,Aalborg BK,"1,00 mln €",Kupno,Red Bull Salzburg,2009/2010
1863,Admir VladavicA. Vladavic,27,Bośnia i Hercegowina,Ofensywny pomocnik,OPM,900 tys. €,Słowacja,MSK Zilina,900 tys. €,Kupno,Red Bull Salzburg,2009/2010
1864,Christian SchweglerC. Schwegler,25,Szwajcaria,Prawy obrońca,POB,"1,20 mln €",Szwajcaria,BSC Young Boys,600 tys. €,Kupno,Red Bull Salzburg,2009/2010
1865,Simon CziommerS. Cziommer,28,Niemcy,Środkowy pomocnik,ŚPM,"2,20 mln €",Holandia,AZ Alkmaar,Bez odstępnego,Kupno,Red Bull Salzburg,2009/2010
1866,Franz SchiemerF. Schiemer,23,Austria,Środkowy obrońca,ŚOB,"1,25 mln €",Austria,Austria Wiedeń,Bez odstępnego,Kupno,Red Bull Salzburg,2009/2010
1867,Rabiu AfolabiR. Afolabi,29,Nigeria,Środkowy obrońca,ŚOB,"3,00 mln €",Francja,FC Sochaux,Bez odstępnego,Kupno,Red Bull Salzburg,2009/2010
1868,Alexander AschauerA. Aschauer,18,Austria,Środkowy napastnik,ŚNP,125 tys. €,Austria,RB Juniors,?,Kupno,Red Bull Salzburg,2009/2010
1869,Christoph KröpflC. Kröpfl,19,Austria,Lewy napastnik,LNP,275 tys. €,Austria,RB Juniors,?,Kupno,Red Bull Salzburg,2009/2010
